#Release 13.1 - par O.40d (nt)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Tue May 15 17:58:28 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       main_map.ncd
#OUTPUT FILE:      main_pad.csv
#PART TYPE:        xc3s200
#SPEED GRADE:      -5
#PACKAGE:          vq100
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P37,SPI_CLK,IOB,IO_L32N_5/GCLK3,INPUT,LVCMOS33,5,,,PULLUP,NONE,,LOCATED,NO,NONE,
P38,SPI_SS,IOB,IO_L32P_4/GCLK0,INPUT,LVCMOS33,4,,,PULLUP,NONE,,LOCATED,NO,NONE,
P39,IO6,IOB,IO_L32N_4/GCLK1,TRISTATE,LVCMOS33,4,12,SLOW,PULLUP,,,LOCATED,NO,NONE,
P40,IO5,IOB,IO_L31P_4/DOUT/BUSY,TRISTATE,LVCMOS33,4,12,SLOW,PULLUP,,,LOCATED,NO,NONE,
P41,,,GND,,,,,,,,,,,,
P42,AL<10>,IOB,IO_L31N_4/INIT_B,INPUT,LVCMOS33,4,,,,NONE,,LOCATED,NO,NONE,
P43,IO4,IOB,IO_L30P_4/D3,TRISTATE,LVCMOS33,4,12,SLOW,PULLUP,,,LOCATED,NO,NONE,
P44,IO3,IOB,IO_L30N_4/D2,TRISTATE,LVCMOS33,4,12,SLOW,PULLUP,,,LOCATED,NO,NONE,
P45,,,VCCINT,,,,,,,,1.2,,,,
P46,,,VCCO_4,,,4,,,,,3.30,,,,
P47,IO2,IOB,IO_L27P_4/D1,TRISTATE,LVCMOS33,4,12,SLOW,PULLUP,,,LOCATED,NO,NONE,
P48,DEBUG_OUT,IOB,IO_L27N_4/DIN/D0,OUTPUT,LVCMOS33,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P49,LON_IRQ,IOB,IO_L01P_4/VRN_4,INPUT,LVCMOS33,4,,,PULLUP,NONE,,LOCATED,NO,NONE,
P50,LON_INT,IOB,IO_L01N_4/VRP_4,OUTPUT,LVCMOS33,4,12,SLOW,PULLUP,,,LOCATED,NO,NONE,
P51,,,DONE,,,,,,,,,,,,
P52,,,CCLK,,,,,,,,,,,,
P53,N1SERVICE_OUT,IOB,IO_L01P_3/VRN_3,TRISTATE,LVCMOS33,3,24,SLOW,PULLUP,,,LOCATED,NO,NONE,
P54,N1SERVICE_IN,IOB,IO_L01N_3/VRP_3,INPUT,LVCMOS33,3,,,PULLUP,NONE,,LOCATED,NO,NONE,
P55,LON_CS0,IOB,IO,TRISTATE,LVCMOS33,3,12,SLOW,PULLUP,,,LOCATED,NO,NONE,
P56,,,GND,,,,,,,,,,,,
P57,,,VCCO_3,,,3,,,,,3.30,,,,
P58,,,VCCAUX,,,,,,,,2.5,,,,
P59,LRST,IOB,IO,TRISTATE,LVCMOS33,3,24,SLOW,PULLUP,,,LOCATED,NO,NONE,
P60,FROM_CS,IOB,IO_L24P_3,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P61,DIMA,IOB,IO_L24N_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P62,DIMB,IOB,IO_L40P_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P63,STRB,IOB,IO_L40N_3/VREF_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P64,RW,IOB,IO_L40P_2/VREF_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P65,EDGE_MODE,IOB,IO_L40N_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P66,,,GND,,,,,,,,,,,,
P67,INT1,IOB,IO_L24P_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P68,INT2,IOB,IO_L24N_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P69,,,VCCINT,,,,,,,,1.2,,,,
P70,,,VCCO_2,,,2,,,,,3.30,,,,
P71,INT3,IOB,IO_L21P_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P72,ROM_SERIAL_SW,IOB,IO_L21N_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P73,,,GND,,,,,,,,,,,,
P74,WDI,IOB,IO_L01P_2/VRN_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P75,XL16L784_INT,IOB,IO_L01N_2/VRP_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P76,,,TDO,,,,,,,,,,,,
P77,,,TCK,,,,,,,,,,,,
P78,,,TMS,,,,,,,,,,,,
P79,XL16L784_CS,IOB,IO_L01P_1/VRN_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P80,W5100_INT,IOB,IO_L01N_1/VRP_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
P81,W5100_CS,IOB,IO,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P82,,,GND,,,,,,,,,,,,
P83,,,VCCO_1,,,1,,,,,3.30,,,,
P84,,,VCCAUX,,,,,,,,2.5,,,,
P85,NVSRAM_CS,IOB,IO_L31P_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P86,DSP_RST,IOB,IO_L31N_1/VREF_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P87,FPGA_RTS_INIT,IOB,IO_L32P_1/GCLK4,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P88,D<0>,IOB,IO_L32N_1/GCLK5,BIDIR,LVCMOS33,1,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
P89,D<1>,IOB,IO_L32P_0/GCLK6,BIDIR,LVCMOS33,0,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
P90,H3,IOB,IO_L32N_0/GCLK7,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P91,D<2>,IOB,IO_L31P_0/VREF_0,BIDIR,LVCMOS33,0,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P92,D<3>,IOB,IO_L31N_0,BIDIR,LVCMOS33,0,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P93,,,VCCINT,,,,,,,,1.2,,,,
P94,,,VCCO_0,,,0,,,,,3.30,,,,
P95,,,GND,,,,,,,,,,,,
P96,D<4>,IOB,IO_L01P_0/VRN_0,BIDIR,LVCMOS33,0,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P97,D<5>,IOB,IO_L01N_0/VRP_0,BIDIR,LVCMOS33,0,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P98,,,HSWAP_EN,,,,,,,,,,,,
P99,,,PROG_B,,,,,,,,,,,,
P100,,,TDI,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
