비업시스 구매  입고 현황,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,구매,원자재,2024-07-22 00:00:00,유니퀘스트,제BEUP JDS24-0722-1호,지아이씨,GIC CSP24-0524-1호,홍콩MTR 333량,SSD 64GB BGA TLC SATA,SM619GECDFSTCX59C,결제완료,180,27.5,4950,$,2024-12-09 00:00:00,발주 후 20주내,,확인불가,6637950,1341,"입금 후 1주일 내 물품발송
환율은 납품 시 고시가로",,,2024-09-10 00:00:00,0.1,6637950,663795,7301745,"네이버 게시판 자료, $4,950",1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\유니퀘스트㈜\240524_GIC CSP24-0524-1호_MOP외2종생산
25,구매,원자재,2024-07-15 00:00:00,화인테크폴리머,-,-,없음,홍콩MTR 333량,실리콘 시트,난연 SILICONE 백색 (도번: R1D013805),결제완료,1,800000,800000,원,,,,,800000,1,,,,,0.1,800000,80000,880000,누락,
26,구매,원자재,2024-07-15 00:00:00,화인테크폴리머,-,-,없음,홍콩MTR 333량,EPDM SEALING FOAM,EPDM SEALING FOAM 1T*5*614,결제완료,100,950,95000,원,,,,,95000,1,,,,,0.1,95000,9500,104500,누락,
27,구매,원자재,2024-07-15 00:00:00,화인테크폴리머,-,-,없음,홍콩MTR 333량,EPDM SEALING FOAM,EPDM SEALING FOAM 1T*5*342,결제완료,100,550,55000,원,,,,,55000,1,,,,,0.1,55000,5500,60500,누락,
28,구매,원자재,2024-07-15 00:00:00,화인테크폴리머,-,-,없음,홍콩MTR 333량,SPK GASKET,SPEAKER EPDM GASKET 6T*41*71,결제완료,50,1500,75000,원,,,,,75000,1,,,,,0.1,75000,7500,82500,누락,
29,구매,원자재,2024-07-15 00:00:00,화인테크폴리머,-,-,없음,홍콩MTR 333량,금형,금형,결제완료,1,800000,800000,원,,,,,800000,1,,,,,0.1,800000,80000,880000,누락,
30,구매,원자재,2024-07-23 00:00:00,이송이엠씨,-,-,없음,홍콩MTR 333량,도전성 원단 (먼지필터),SM-W18B (1000mm*100M/RL),결제완료,1,1500000,1500000,원,,,,,1500000,1,첫거래 선금,,,,0.1,1500000,150000,1650000,누락,
31,구매,원자재,2024-07-23 00:00:00,이송이엠씨,-,-,없음,홍콩MTR 333량,폼가스켓,SF050020R-C-NB-A (W5*T2*L1000mm),결제완료,100,1800,180000,원,,,,,180000,1,첫거래 선금,,,,0.1,180000,18000,198000,누락,
32,구매,장비,2024-08-21 00:00:00,아이닉스,제BEUP JDS24-0821-1호,지아이씨,GIC CSP24-0524-2호,홍콩MTR 333량,Coding 공구 ,Coding Pliers 894-301,결제완료,1,,788000,원,2024-09-18 00:00:00,발주 후 4주내,O,2024-09-04 00:00:00,788000,1,납품 후 지급,,2024-09-04 00:00:00,2024-10-04 00:00:00,0.1,788000,78800,866800,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\아이닉스\GIC CSP24-0524-2호_PSR-Hub외9종생산
33,구매,원자재,2024-08-28 00:00:00,파츠맨,제BEUP JDS24-0828-2호,지아이씨,GIC CSP24-0524-2호,홍콩MTR 333량,2024년 8월 부자재류,2024년 8월 부자재류,결제완료,1,,982500,원,2024-09-07 00:00:00,발주 후 10일,O,2024-08-28 00:00:00,982500,1,물품납기시,,2024-08-28 00:00:00,2024-09-10 00:00:00,0.1,982500,98250,1080750,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\파츠맨\GIC CSP24-0524-2호_PSR-Hub외9종생산\8월자재진행
34,구매,임가공,2024-09-06 00:00:00,아이리코,제BEUP JDS24-0828-1호,지아이씨,GIC CSP24-0524-2호,홍콩MTR 333량,PCB 코팅,HK향 PCB코팅 10종,결제완료,1,,8274400,원,2025-01-24 00:00:00,발주 후 20주내,O,2024-08-30 00:00:00,8274400,1,제작완료시 지급,,2024-08-31 00:00:00,2024-09-10 00:00:00,0.1,8274400,827440,9101840,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\아이리코(I RICCO)\241016_GIC CSP24-0524-2호_PSR-Hub외9종생산\Board 코팅
35,구매,임가공,2024-09-09 00:00:00,일성,제BEUP JDS24-0522-1호,지아이씨,GIC CSP24-0524-2호,홍콩MTR 333량,홍콩 PBA 11종 조립,홍콩 PBA 11종 조립 선금 (30%),결제완료,1,,9015600,원,2025-01-27 00:00:00,발주 후 20주내,O,2024-05-15 00:00:00,9015600,1,선금 30%,,-,2024-05-28 00:00:00,0.1,9015600,901560,9917160,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\(주)일성\GIC CSP24-0524-2호_PSR-Hub외9종생산
36,구매,임가공,2024-09-09 00:00:00,일성,제BEUP JDS24-0522-1호,지아이씨,GIC CSP24-0524-2호,홍콩MTR 333량,홍콩 PBA 11종 조립,홍콩 PBA 11종 조립 1차 납품 (40%),결제완료,1,,12020800,원,2025-01-27 00:00:00,발주 후 20주내,O,2024-08-12 00:00:00,12020800,1,1차 납품 40%,,2024-08-30 00:00:00,2024-09-13 00:00:00,0.1,12020800,1202080,13222880,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\(주)일성\GIC CSP24-0524-2호_PSR-Hub외9종생산
37,구매,임가공,2024-09-09 00:00:00,일성,제BEUP JDS24-0522-1호,지아이씨,GIC CSP24-0524-2호,홍콩MTR 333량,홍콩 PBA 11종 조립,홍콩 PBA 11종 조립 2차 납품 (30%),결제완료,1,,9015600,원,2025-01-27 00:00:00,발주 후 20주내,O,2024-10-20 00:00:00,9015600,1,2차 납품 30%,,2024-10-31 00:00:00,2024-11-08 00:00:00,0.1,9015600,901560,9917160,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\(주)일성\GIC CSP24-0524-2호_PSR-Hub외9종생산
38,구매,원자재,2024-09-09 00:00:00,이지파워,제BEUP_24-0909-1호,지아이씨,GIC CSP24-0524-2호,홍콩MTR 333량,홍콩예비품 8종 명판,홍콩예비품 8종 명판,결제완료,320,,4680000,원,2024-10-07 00:00:00,발주 후 4주내,O,2024-09-21 00:00:00,4680000,1,납품 후 지급,,2024-09-21 00:00:00,2024-10-04 00:00:00,0.1,4680000,468000,5148000,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\이지파워\GIC CSP24-0524-2호_PSR-Hub외9종생산\제BEUP_24-0909-1호
39,구매,원자재,2024-09-13 00:00:00,아이닉스,제BEUP KNK24-0913-1호,다원시스,DWE-2024-JUN-11-001,7호선 3차 TCMS 개조,산업용 마더보드,MotherBoard IMB-161-L,결제완료,2,,1446000,원,2024-10-11 00:00:00,발주 후 4주내,O,2024-09-24 00:00:00,1446000,1,납품 후 지급,,2024-09-27 00:00:00,2024-10-17 00:00:00,0.1,1446000,144600,1590600,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\아이닉스\DWE-2024-JUN-11-001_7호선3차분TCMS개조_CSC수리부품구매
40,기타,기타,2024-09-14 00:00:00,바이슨,제BEUP CSP24-0914-1호,-,없음,-,계단 리프트 ASS'Y 제작 및 설치,계단 리프트 ASS'Y 제작 및 설치 선금 (50%),결제완료,1,,2772000,원,2024-10-12 00:00:00,발주 후 4주내,,확인불가,2772000,1,계약 시 선금 50%,,2024-09-14 00:00:00,2024-09-14 00:00:00,0.1,2772000,277200,3049200,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\바이슨
41,기타,기타,2024-09-14 00:00:00,바이슨,제BEUP CSP24-0914-1호,-,없음,-,계단 리프트 ASS'Y 제작 및 설치,계단 리프트 ASS'Y 제작 및 설치 잔금 (50%),결제완료,1,,2772000,원,2024-10-12 00:00:00,발주 후 4주내,,확인불가,2772000,1,설치 후 잔금 50%,,2024-10-16 00:00:00,2024-10-17 00:00:00,0.1,2772000,277200,3049200,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\바이슨
42,구매,원자재,2024-09-23 00:00:00,파츠맨,제BEUP KNK24-0923-1호,지아이씨,GIC CSP24-0913-1호,홍콩MTR 333량,HK-NVR PCB 조립 75EA 사급자재,CL10B104KB8NNNC 외,결제완료,1,,15905345,원,2024-10-03 00:00:00,발주 후 10일,O,2024-09-25 00:00:00,15905345,1,물품납기시,,2024-09-30 00:00:00,2024-10-04 00:00:00,0.1,15905345,1590534.5,17495879.5,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\파츠맨\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\NVR
43,구매,원자재,2024-09-23 00:00:00,파츠맨,제BEUP KNK24-0923-2호,지아이씨,GIC CSP24-0923-1호,홍콩MTR 333량,2024년 9월 부자재류,액체그리스 외,결제완료,1,,1304100,원,2024-10-03 00:00:00,발주 후 10일,O,2024-09-25 00:00:00,1304100,1,물품납기시,,2024-09-30 00:00:00,2024-10-04 00:00:00,0.1,1304100,130410,1434510,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\파츠맨\GIC CSP24-0923-1호 추가PCB공급건\9월자재비용
44,구매,임가공,2024-09-24 00:00:00,아이리코,제BEUP KNK24-0924-1호,지아이씨,GIC CSP24-0923-1호,홍콩MTR 333량,PCB 코팅,HK향 PCB코팅 1종,결제완료,14,,210000,원,2024-10-22 00:00:00,발주 후 4주내,O,2024-09-30 00:00:00,210000,1,제작완료시 지급,,2024-09-30 00:00:00,2024-10-04 00:00:00,0.1,210000,21000,231000,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\아이리코(I RICCO)\240923_GIC CSP24-0923-1호_MSR PWR Board for MSR외 10종\제BEUP KNK24-0924-1호_홍콩보드코팅_아이리코
45,구매,원자재,2024-09-27 00:00:00,일렉콤티에스,제BEUP KNK24-0927-1호,지아이씨,GIC CSP24-0913-1호,홍콩MTR 333량,방송/표시기 PCB 사급자재,CL10B104KB8NNNC외,결제완료,1,,66782940,원,2024-10-12 00:00:00,발주 후 15일,O,2024-10-14 00:00:00,66782940,1,물품납기시,,2024-10-14 00:00:00,2024-10-17 00:00:00,0.1,66782940,6678294,73461234,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\주식회사 일렉콤티에스\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\MSR_SC
46,구매,임가공,2024-10-08 00:00:00,아이리코,제BEUP JDS24-1007-1호,지아이씨,GIC CSP24-0524-2호,홍콩MTR 333량,"LAN 케이블 제작 (M12, 103EA)","LAN 케이블 제작 (M12, 103EA)",결제완료,103,,400000,원,2024-11-05 00:00:00,발주 후 4주내,O,2024-10-31 00:00:00,400000,1,제작완료시 지급,,2024-10-31 00:00:00,2024-11-08 00:00:00,0.1,400000,40000,440000,"125,300원 절감",1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\아이리코(I RICCO)\241016_GIC CSP24-0524-2호_PSR-Hub외9종생산\241004_BEUP JDS24-1007-1호_M12컨넥터 배선작업
47,구매,원자재,2024-10-08 00:00:00,이지파워,제BEUP JDS24-1007-2호,지아이씨,GIC CSP24-0524-2호,홍콩MTR 333량,홍콩예비품 파워 3종,홍콩예비품 파워 3종,결제완료,45,,5475000,원,2024-12-17 00:00:00,,O,2024-12-12 00:00:00,5475000,1,납품 후 지급,,2024-12-13 00:00:00,2024-12-20 00:00:00,0.1,5475000,547500,6022500,,1_BEUPSYS/5-1_업체구매요청서/1_부품구매요청서및계약서/이지파워/GIC CSP24-0524-2호_PSR-Hub외9종생산/제BEUP JDS24-1007-2호
48,구매,원자재,2024-10-08 00:00:00,유에스케이,제BEUP JDS24-1007-3호,지아이씨,GIC CSP24-0923-1호,홍콩MTR 333량,홍콩예비품 6종 Front_Panel,홍콩예비품 6종 Front_Panel,결제완료,1,,1970000,원,2024-11-05 00:00:00,발주 후 4주내,O,2024-10-21 00:00:00,1970000,1,납품 후 지급,,2024-10-21 00:00:00,2024-11-13 00:00:00,0.1,1970000,197000,2167000,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜유에스케이\GIC CSP24-0524-2호_PSR-Hub외9종생산\6종_Front Panel
49,구매,원자재,2024-10-08 00:00:00,파츠맨,제BEUP KNK24-1008-1호,지아이씨,GIC CSP24-0913-1호,홍콩MTR 333량,HK-CTM PCB 조립 75EA 사급자재,1717831-2 외,결제완료,1,,16832480,원,2024-10-18 00:00:00,발주 후 10일,O,2024-10-30 00:00:00,16832480,1,물품납기시,,2024-10-30 00:00:00,2024-11-04 00:00:00,0.1,16832480,1683248,18515728,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\파츠맨\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\CTM
50,구매,원자재,2024-10-15 00:00:00,태신전자,제BEUP KNK24-1015-1호,지아이씨,GIC CSP24-0913-1호,홍콩MTR 333량,PCB 제작,VOIP MODULE,결제완료,50,,450000,원,2024-11-12 00:00:00,발주 후 4주내,O,2024-10-29 00:00:00,450000,1,납품 후 100% 지불,,2024-10-29 00:00:00,2024-11-04 00:00:00,0.1,450000,45000,495000,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜태신전자\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\1_MTX_TCIU_HUB_MOP
51,구매,원자재,2024-10-15 00:00:00,태신전자,제BEUP KNK24-1015-1호,지아이씨,GIC CSP24-0913-1호,홍콩MTR 333량,PCB 제작,MOP-SUB,결제완료,50,,250000,원,2024-11-12 00:00:00,발주 후 4주내,O,2024-10-29 00:00:00,250000,1,납품 후 100% 지불,,2024-10-29 00:00:00,2024-11-04 00:00:00,0.1,250000,25000,275000,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜태신전자\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\1_MTX_TCIU_HUB_MOP
52,구매,원자재,2024-10-15 00:00:00,태신전자,제BEUP KNK24-1015-1호,지아이씨,GIC CSP24-0913-1호,홍콩MTR 333량,PCB 제작,MOP,결제완료,50,,312500,원,2024-11-12 00:00:00,발주 후 4주내,O,2024-10-29 00:00:00,312500,1,납품 후 100% 지불,,2024-10-29 00:00:00,2024-11-04 00:00:00,0.1,312500,31250,343750,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜태신전자\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\1_MTX_TCIU_HUB_MOP
53,구매,원자재,2024-10-15 00:00:00,태신전자,제BEUP KNK24-1015-1호,지아이씨,GIC CSP24-0913-1호,홍콩MTR 333량,PCB 제작,MTX,결제완료,75,,1035000,원,2024-11-12 00:00:00,발주 후 4주내,O,2024-10-29 00:00:00,1035000,1,납품 후 100% 지불,,2024-10-29 00:00:00,2024-11-04 00:00:00,0.1,1035000,103500,1138500,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜태신전자\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\1_MTX_TCIU_HUB_MOP
54,구매,원자재,2024-10-15 00:00:00,태신전자,제BEUP KNK24-1015-1호,지아이씨,GIC CSP24-0913-1호,홍콩MTR 333량,PCB 제작,TCIU,결제완료,65,,1137500,원,2024-11-12 00:00:00,발주 후 4주내,O,2024-10-29 00:00:00,1137500,1,납품 후 100% 지불,,2024-10-29 00:00:00,2024-11-04 00:00:00,0.1,1137500,113750,1251250,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜태신전자\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\1_MTX_TCIU_HUB_MOP
55,구매,원자재,2024-10-15 00:00:00,태신전자,제BEUP KNK24-1015-1호,지아이씨,GIC CSP24-0913-1호,홍콩MTR 333량,PCB 제작,HUB,결제완료,110,,1925000,원,2024-11-12 00:00:00,발주 후 4주내,O,2024-10-29 00:00:00,1925000,1,납품 후 100% 지불,,2024-10-29 00:00:00,2024-11-04 00:00:00,0.1,1925000,192500,2117500,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜태신전자\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\1_MTX_TCIU_HUB_MOP
56,구매,원자재,2024-10-17 00:00:00,아이닉스,제BEUP JDS24-1016-1호,지아이씨,GIC CSP24-0923-1호,홍콩MTR 333량,M12 커넥터 외,21033712403 외,결제완료,300,,7277250,원,2024-11-28 00:00:00,발주 후 6주내,O,2024-11-14 00:00:00,7277250,1,납품 후 지급,,2024-11-30 00:00:00,2024-12-20 00:00:00,0.1,7277250,727725,8004975,,1_BEUPSYS/5-1_업체구매요청서/1_부품구매요청서및계약서/아이닉스/GIC CSP24-0923-1호_MSR PWR Board for MSR외 10종
57,구매,원자재,2024-10-18 00:00:00,아이리코,제BEUP JDS24-1018-1호,지아이씨,GIC CSP24-0409-1호,홍콩MTR 333량,PAB 재작업 (배선작업),PAB 재작업 (배선작업),결제완료,50,50000,2500000,원,2024-11-01 00:00:00,발주 후 2주내,O,2024-10-31 00:00:00,2500000,1,제작완료시 지급,,2024-10-31 00:00:00,2024-11-08 00:00:00,0.1,2500000,250000,2750000,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\아이리코(I RICCO)\240409_GIC CSP24-0409-1호_PAB외4종생산\241018_BEUP JDS24-1018-1_PAB 배선작업
58,구매,장비,2024-10-18 00:00:00,엔에스티정보통신,제BEUP JDS24-1018-2호,지아이씨,GIC CSP24-0923-1호,홍콩MTR 333량,이더넷스위치,이더넷스위치,결제완료,1,,1900000,원,2024-11-15 00:00:00,발주 후 4주내,O,2024-10-22 00:00:00,1900000,1,납품 후 지급,,2024-10-22 00:00:00,2024-11-13 00:00:00,0.1,1900000,190000,2090000,,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜엔에스티정보통신\GIC CSP24-0923-1호_MSR PWR Board for MSR외 10종\제BEUP JDS24-1018-2호
