,,*. 대금 및 공급 지급완료가 되면 자료가 Update되고 그 다음차 수정시 제외한다.,,,,,,,,,,,,,,,,,,,,,,지불완료
112,2025-03-04 00:00:00,김민석,,BEUPSYS_KNK25030401,,"MSR, MOP 테스트 및 검수",1,2025-03-24 00:00:00,,2025-03-31 00:00:00,,1500000,2025-4-4 (사업소득세 3.3% 공제),㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,업무 완료,전자세금계산서 미수취 / 프리렌서계약,250407 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\프리렌서계약_김민석\제GIC CSP24-0913-1호_MSR NVR 외 11종\2차_2503월,,
111,2025-02-28 00:00:00,아이리코(I RICCO),,제BEUP LDJ25-0228-2호,,MOP LCD 코팅 재작업 외,1,2025-03-28 00:00:00,발주 후 4주내,2025-02-28 00:00:00,,1866000,납품 후 지급,㈜지아이씨,GIC CSP24-0524-1호,계약 서명확인,입고 확인,250228 전자세금계산서,250306 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\아이리코(I RICCO)\240524_GIC CSP24-0524-1호_MOP외2종생산\제BEUP LDJ25-0228-2호,,
110,2025-02-28 00:00:00,파츠맨,,제BEUP LDJ25-0228-1호,,브라더 12mm Tze-231 호환 흰색바탕/검정글씨 외,1,2025-03-28 00:00:00,발주 후 4주내,2025-02-28 00:00:00,,2140340,납품 후 지급,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인,250228 전자세금계산서,250306 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\파츠맨\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\제BEUP LDJ25-0228-1호,,
109,2025-02-24 00:00:00,대현테크,,제BEUP LDJ25-0224-2호,,56-3113.2389 외,1,2025-05-05 00:00:00,발주 후 10주내,,,2611000,물품 납품전 지급,현대로템㈜,HRCPO20250226-001,계약 서명확인,선금 100%,250327 전자세금계산서,250407 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\대현테크\임시-EIDS수리-241224\제BEUP LDJ25-0224-2호,,
108,2025-02-24 00:00:00,아이닉스,,제BEUP LDJ25-0224-1호,,770-101 외 2종,1,2025-03-24 00:00:00,발주 후 4주내,2025-03-11 00:00:00,,216000,납품 후 지급,㈜지아이씨,GIC CSP24-0524-1호,계약 서명확인,입고 확인,250331 전자세금계산서,250407 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\아이닉스\GIC CSP24-0524-1호_MOP외2종생산\제BEUP LDJ25-0224-1호,,
107,2025-02-20 00:00:00,김재현,,제BEUPSYS KNK25-0220,,방송장치 오디오 테스트 방법 수립,1,2025-03-31 00:00:00,,2025-03-31 00:00:00,,5000000,2025-4-4 (사업소득세 3.3% 공제),㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,업무 완료,전자세금계산서 미수취 / 프리렌서계약,250407 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\프리렌서계약_김재현\제GIC CSP24-0913-1호_MSR NVR 외 11종\2차,,
106,2025-02-19 00:00:00,㈜메카전자,,제BEUP LDJ25-0219-1호,,HK_CTM_A4_20250205 수삽자재 부족분,15,2025-04-16 00:00:00,발주 후 8주내,2025-02-24 00:00:00,,99000,납품 후 지급,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인,250225 전자세금계산서,250306 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜메카전자\GIC CSP24-0913-1호_CTM 수삽자재 부족분,,
105,2025-02-11 00:00:00,㈜메카전자,,제BEUP LDJ25-0211-2호,,HK_CTM_A4_20250205 ARTWORK 외,1,2025-04-08 00:00:00,발주 후 8주내,2025-02-24 00:00:00,,2910000,납품 후 지급,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인,250225 전자세금계산서,250307 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜메카전자\GIC CSP24-0913-1호_CTM 추가 수정 및 작업건,,
104,2025-02-11 00:00:00,아이닉스,,제BEUP LDJ25-0211-1호,,0967 000 5476 외,1,2025-03-11 00:00:00,발주 후 4주내,2025-02-12 00:00:00,,735000,납품 후 지급,㈜지아이씨,GIC CSP24-0524-1호,계약 서명확인,입고 확인,250227 전자세금계산서,250306 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\아이닉스\GIC CSP24-0524-1호_MOP외2종생산\제BEUP LDJ25-0211-1호,,
103,2025-02-10 00:00:00,이노웍스코리아,,제BEUP LDJ25-0210-1호,,M3S0-4GSSCLPC 외,1,2025-04-07 00:00:00,발주 후 8주내,2025-02-26 00:00:00,,710000,납품 후 지급,㈜지아이씨,GIC CSP24-0923-1호,계약 서명확인,입고 확인,250226 전자세금계산서,250306 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\이노웍스코리아\GIC CSP24-0923-1호\제BEUP LDJ25-0210-1호,,
102,2025-02-06 00:00:00,이엔엠테크놀러지,,제BEUP LDJ25-0206-1호,,TC170/i7-6600U 외 (5SET),1,2025-05-01 00:00:00,발주 후 12주내,2025-03-13 00:00:00,,9760500,발주 후 선금 100% (2025년 3월초 지급 예정),㈜지아이씨,GIC CSP24-0923-1호,계약 서명확인,선금 100%,250228 전자세금계산서,250306 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\이엔엠테크놀러지\GIC CSP24-0923-1호\제BEUP LDJ25-0206-1호,,
101,2025-02-03 00:00:00,이예준,,BEUPSYS_KNK_25020302,,"MSR, MOP 테스트 및 검수",1,2025-02-28 00:00:00,2025-02-28 00:00:00,2025-02-28 00:00:00,,2000000,2025-3-5 (사업소득세 3.3% 공제),㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,업무 완료,전자세금계산서 미수취 / 프리렌서계약,250306 지급(입금) / 매입증빙 확인,1.지불 완료,사업소득세 3.3% 공제,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\프리렌서계약_이예준\제GIC CSP24-0913-1호_MSR NVR 외 11종,,
100,2025-02-03 00:00:00,김민석,,BEUPSYS_KNK_25020301,,"MSR, MOP 테스트 및 검수",1,2025-02-28 00:00:00,2025-02-28 00:00:00,2025-02-28 00:00:00,,2000000,2025-3-5 (사업소득세 3.3% 공제),㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,업무 완료,전자세금계산서 미수취 / 프리렌서계약,250306 지급(입금) / 매입증빙 확인,1.지불 완료,사업소득세 3.3% 공제,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\프리렌서계약_김민석\제GIC CSP24-0913-1호_MSR NVR 외 11종,,
99,2025-01-24 00:00:00,파츠맨,,제BEUP LDJ25-0124-2호,,2025년 1월 부자재류,1,2025-02-21 00:00:00,발주 후 4주내,2025-01-24 00:00:00,,1335200,물품납기시,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인,250124 전자세금계산서,250206 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\파츠맨\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\제BEUP LDJ25-0124-2호,,
98,2025-01-24 00:00:00,파츠맨,,제BEUP LDJ25-0124-1호,,MOP 수리자재 외,1,2025-02-21 00:00:00,발주 후 4주내,2025-01-20 00:00:00,,1039000,물품납기시,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인,250120 전자세금계산서,250206 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\파츠맨\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\제BEUP LDJ25-0124-1호,,
97,2025-01-23 00:00:00,티엠에스,,제BEUP JDS25-0122-1호,,"홍콩 MOP, CTM, MSR 환경시험",1,2025-03-06 00:00:00,발주 후 6주내,2025-03-24 00:00:00,,29900000,시험완료 보고서 완료시,㈜지아이씨,GIC CSP24-0524-1호,계약 서명확인,입고 확인,250325 전자세금계산서,250407 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\티엠에스(전자파 인증관리)\240524_GIC CSP24-0524-1호_MOP외2종생산,,
96,2025-01-23 00:00:00,㈜메카전자,,제BEUP LDJ25-0123-2호,,NVR 수리 자재,1,2025-02-20 00:00:00,발주 후 4주내,2025-02-05 00:00:00,,34280,물품납기시,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인,250205 전자세금계산서,250306 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜메카전자\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\NVR 수리자재,,
95,2025-01-23 00:00:00,아이리코(I RICCO),,제BEUP LDJ25-0123-1호,,"MOP, CTM, MSR PCB 코팅 작업 외",1,2025-02-20 00:00:00,발주 후 4주내,2025-01-23 00:00:00,,6319200,물품납기시,㈜지아이씨,GIC CSP24-0524-1호,계약 서명확인,입고 확인,250124 전자세금계산서,250206 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\아이리코(I RICCO)\240524_GIC CSP24-0524-1호_MOP외2종생산\제BEUP LDJ25-0123-1호,,
94,2025-01-16 00:00:00,㈜이송이엠씨,,제BEUP JDS25-0116-2호,,품가스켓,1,2025-01-23 00:00:00,발주 후 4주내,2025-01-23 00:00:00,,180000,물품납기시,㈜지아이씨,GIC CSP24-0524-1호,계약 서명확인,입고 확인,250123 전자세금계산서,250206 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜이송이엠씨\GIC CSP24-0524-1호_MOP외2종생산\제BEUP JDS25-0116-2호,,
93,2025-01-16 00:00:00,아이닉스,,제BEUP JDS25-0116-1호,,HK MOP CTM 자재,1,2025-01-23 00:00:00,발주 후 4주내,2025-01-09 00:00:00,,582000,물품납기시,㈜지아이씨,GIC CSP24-0524-1호,계약 서명확인,입고 확인,250124 전자세금계산서,250206 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS/5-1_업체구매요청서/1_부품구매요청서및계약서/아이닉스/GIC CSP24-0524-1호_MOP외2종생산/제BEUP JDS25-0116-1호,,
92,2025-01-13 00:00:00,㈜메카전자,,제BEUP LDJ25-0113-1호,,HK CTM 보드 PCB 외,80,2025-01-27 00:00:00,발주 후 2주내,2025-02-24 00:00:00,,13088000,물품납기시,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인,250225 전자세금계산서,250306 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜메카전자\GIC CSP24-0913-1호_CTM 생산,,
91,2025-01-09 00:00:00,아이리코(I RICCO),,제BEUP LDJ25-0109-2호,,HK MOP SUB 보드 제작 SMT 작업,1,2025-02-06 00:00:00,발주 후 4주내,2025-01-23 00:00:00,,1048000,물품납기시,㈜지아이씨,GIC CSP24-0524-2호,계약 서명확인,입고 확인,250124 전자세금계산서,250206 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\아이리코(I RICCO)\241016_GIC CSP24-0524-2호_PSR-Hub외9종생산\2025-1 구매 진행,,
90,2025-01-09 00:00:00,파츠맨,-,제BEUP LDJ25-0109-1호,,HK MOP SUB 보드 제작 사급자재 외,1,2025-01-23 00:00:00,발주 후 2주내,2025-01-20 00:00:00,,2356000,물품납기시,㈜지아이씨,GIC CSP24-0524-2호,계약 서명확인,입고 확인,250120 전자세금계산서,250206 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\파츠맨\GIC CSP24-0524-2호_PSR-Hub외9종생산\2025-1 구매 진행,,
89,2025-01-02 00:00:00,디에스테크놀로지,DST20250102-2BN,제BEUP JDS25-0102-2호,,Development Tool,1,2025-01-16 00:00:00,,2025-01-20 00:00:00,,3300000,선금 100%,㈜지아이씨,GIC CSP24-0923-1호,계약 서명확인,입고 확인,250103 전자세금계산서,250103 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS/5-1_업체구매요청서/1_부품구매요청서및계약서/디에스테크놀로지/240923_GIC CSP24-0923-1호_MSR PWR Board for MSR외 10종,,
88,2025-01-02 00:00:00,우석케미칼,TD2024129472865,제BEUP JDS25-0102-1호,,HUMISEAL PCB 코팅 용액,2,2025-01-02 00:00:00,,2025-01-02 00:00:00,,368000,제작완료시 지급,㈜지아이씨,GIC CSP24-0923-1호,계약 서명확인,입고 확인,250102 전자세금계산서,250121 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS/5-1_업체구매요청서/1_부품구매요청서및계약서/우석케미칼/240923_GIC CSP24-0923-1호_MSR PWR Board for MSR외 10종,,
87,2024-12-27 00:00:00,아이리코(I RICCO),,제BEUP JDS24-1227-1호,,PCB코팅(MOP_MSR),680,2024-12-31 00:00:00,,2024-12-31 00:00:00,,6898800,제작완료시 지급,㈜지아이씨,GIC CSP24-0923-1호,계약 서명확인,입고 확인,241231 전자세금계산서,250103 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS/5-1_업체구매요청서/1_부품구매요청서및계약서/아이리코(I RICCO)/240923_GIC CSP24-0923-1호_MSR PWR Board for MSR외 10종/제BEUP JDS24-1227-1호_홍콩보드코팅_아이리코,,
86,2024-12-27 00:00:00,㈜태신전자,TS241227-10,제BEUP KNK24-1227-1호,,HK-MOP-SUB-A1. PCB생산,70,2025-01-24 00:00:00,,2025-01-09 00:00:00,,270000,납품 후 100% 지불,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인,250124 전자세금계산서,250206 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜태신전자\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\3_MOPSUB추가생산,,
85,2024-12-26 00:00:00,파츠맨,PQ-24122401,제BEUP KNK24-1226-1호,,CTM부품자재(추가),1,2025-01-05 00:00:00,,2024-12-26 00:00:00,,718600,물품납기시,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인,241226 전자세금계산서,241231 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\파츠맨\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\c,,
84,2024-12-26 00:00:00,파츠맨,PQ-24122403,제BEUP KNK24-1226-2호,,12월부자재비용,1,2025-01-05 00:00:00,,2024-12-26 00:00:00,,1304260,물품납기시,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인,241226 전자세금계산서,241231 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\파츠맨\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\12월부자재-서명완료지급필요_1304260,,
83,2024-12-24 00:00:00,㈜메카전자,,제BEUP KNK24-1216-1호,,SSD보드생산,110,2025-01-08 00:00:00,,2024-12-20 00:00:00,,1300000,물품납기시,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인,241220 전자세금계산서,241231 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜메카전자\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\MSR-SSD_조립생산,,
82,2024-12-24 00:00:00,㈜메카전자,,제BEUP KNK24-1212-1호,,NVR보드생산 ,70,2025-01-08 00:00:00,,2025-01-16 00:00:00,,6209000,물품납기시,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인,250124 전자세금계산서,250206 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜메카전자\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\NVR생산,,
81,2024-12-24 00:00:00,㈜메카전자,,제BEUP KNK24-1218-1호,,MOPLCD 보드생산,70,2025-01-08 00:00:00,,2024-12-30 00:00:00,,3010000,물품납기시,㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,입고 확인,241230 전자세금계산서,241231 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜메카전자\GIC CSP24-0913-1호 NVRCTMMSR 3종생산\MOPLCD,,
80,2024-12-20 00:00:00,김재현,,제BEUPSYS KNK24-1220,1,MOP 하드웨어 생산관련 테스트 및 업데이트,1,2025-02-28 00:00:00,2025-02-28 00:00:00,2025-02-28 00:00:00,,5000000,2025-3-5 (사업소득세 3.3% 공제),㈜지아이씨,GIC CSP24-0913-1호,계약 서명확인,업무 완료,전자세금계산서 미수취 / 프리렌서계약,250306 지급(입금) / 매입증빙 확인,1.지불 완료,사업소득세 3.3% 공제,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\프리렌서계약_김재현\제GIC CSP24-0913-1호_MSR NVR 외 11종,,
79,2024-12-19 00:00:00,아이리코(I RICCO),확인불가,제BEUP JDS24-1219-1호,1,PCB 코팅 및 접지케이블,210,2025-01-16 00:00:00,,2024-12-19 00:00:00,,320000,제작완료시 지급,㈜지아이씨,GIC CSP24-0524-1호,계약 서명확인,입고 확인,241220 전자세금계산서,241231 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\아이리코(I RICCO)\240524_GIC CSP24-0524-1호_MOP외2종생산\제BEUP JDS24-1219-1호,,
78,2024-12-19 00:00:00,㈜이송이엠씨,ES20241217-06,제BEUP JDS24-1218-1호,1,품가스켓,100,2025-01-16 00:00:00,,2025-01-02 00:00:00,,180000,납품 후 지급,㈜지아이씨,GIC CSP24-0524-1호,계약 서명확인,입고 확인,250102 전자세금계산서,250121 지급(입금) / 매입증빙 확인,1.지불 완료,VAT 별도,1_BEUPSYS\5-1_업체구매요청서\1_부품구매요청서및계약서\㈜이송이엠씨\GIC CSP24-0524-1호_MOP외2종생산,,
